examine	audit,check,check out,consider,criticize,delve into,explore,inspect,investigate,ponder,pore over,probe,read,research,review,scan,screen,scrutinize,study,survey,try,vet,view,appraise,assay,canvass,case,eye,finger,frisk,gun,inquire,parse,peruse,prospect,prove,reconnoiter,sift,sweep,weigh,winnow,chew over,dig into,go into,go over,go through,look over,look see,pat down,pick at,scope,scrutinate,search into,size up,take stock of,turn over,examined
open	expand,free,release,bare,broach,burst,crack,disclose,display,disrupt,fissure,gap,gape,hole,jimmy,lacerate,lance,penetrate,perforate,pierce,pop,puncture,reveal,rupture,separate,sever,slit,slot,split,tap,unbar,unblock,unbolt,unclothe,uncork,uncover,undo,unfasten,unfold,unfurl,unlock,unroll,unseal,untie,unwrap,vent,ventilate,yawn,yawp,break in,break out,bust in,come apart,kick in,throw wide,unclose,unlatch,unshut,unstop
attack	
pick up	
smash	
talk to	
enter	
exit	
drink	consume,drain,gulp,guzzle,inhale,quaff,sip,slurp,suck,absorb,belt,booze,dissipate,down,gargle,imbibe,indulge,irrigate,lap,nip,slosh,sop,sponge,sup,swallow,swig,swill,thirst,tipple,toast,hit the bottle,liquor up,partake of,put away,soak up,tank up,toss off,wash down,wet whistle
do	
let's	
go	
